State_Code,State,District,Confirmed,Active,Recovered,Deceased,"Sex ratio of the total population (females per 1,000 males)",Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Women who are overweight or obese (BMI ≥ 25.0 kg/m2)14 (%),Men who are overweight or obese (BMI ≥ 25.0 kg/m2) (%),All women age 15-49 years who are anaemic (%),Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Women Blood sugar level - high (>140 mg/dl) (%),Men Blood sugar level - high (>140 mg/dl) (%),Women Very high (Systolic ≥180 mm of Hg and/or Diastolic ≥110 mm of Hg) (%),Men Very high (Systolic ≥180 mm of Hg and/or Diastolic ≥110 mm of Hg) (%)
GJ,Gujarat,Bhavnagar,2165,351,1777,37,944,21.5,17.4,28,23.7,54,20.4,6.9,11,0.9,1.9
UP,Uttar Pradesh,Rampur,2150,671,1459,20,986,28,29.3,16,11,58.7,21.1,7.2,14.2,0.7,0.7
OR,Odisha,Puri,2135,922,1201,12,996,15.5,14.5,25.3,25.6,44.3,16.1,9.6,13.7,0.7,0.8
BR,Bihar,Aurangabad,2126,717,1403,6,1084,30.9,32.1,12.2,21,54.3,16.5,5.4,17.6,0.8,0
JK,Jammu and Kashmir,Pulwama,2122,431,1651,40,948,9.1,10.4,34,22.6,48.8,17.5,3.3,4.7,1.1,0.9
KL,Kerala,Pathanamthitta,2115,361,1750,2,1105,10.5,7.6,39.7,35.9,22.4,6.7,11.1,7.9,1.3,2.3
BR,Bihar,Gopalganj,2100,554,1544,2,1160,25.7,24.3,16.1,22.2,58.8,26.1,5.9,3.1,1.2,1.9
BR,Bihar,Sitamarhi,2092,728,1359,5,1103,33.6,34.2,8.9,7.5,59.9,36,4.3,6.7,0.6,0
OR,Odisha,Koraput,2085,854,1229,2,1019,34.5,24.7,10.2,18.3,63.3,40,5.2,12.3,0.5,0.9
BR,Bihar,Munger,2074,569,1477,28,970,28.8,31.1,16.1,17.2,66.1,37.2,3.9,8.4,0.3,0
BR,Bihar,Araria,2063,869,1184,10,1110,38.3,39,6.2,6.2,65.6,56,4.2,6.7,0.7,0
WB,West Bengal,Barddhaman,2059,561,1486,12,1013,24,26,17,12.2,63.3,24,7.5,7.3,0.6,0
UP,Uttar Pradesh,Kushinagar,2054,916,1128,10,1094,27.7,27.4,13.6,8.5,50.8,25.9,4.1,6.4,0.9,0.8
RJ,Rajasthan,Sikar,2034,405,1616,13,1015,23.2,15.1,18.4,13.6,32.8,7.3,3.9,3.8,0.4,1.5
JK,Jammu and Kashmir,Jammu,2033,739,1265,29,966,14.1,14.4,36.9,28.4,35.6,15.9,7.5,11.5,0.9,2.7
